0.106512	Corre
0.552848	tan
0.664432	rápido
1.359296	que
1.465808	no
1.749840	ve
1.775199	la
1.881711	raíz
2.186031	de
2.358479	un
2.556287	árbol
2.972191	que
3.022911	sobresale
3.783711	de
3.839503	la
4.159039	tierra
5.092287	Lily
5.350958	se
5.634990	tropieza
6.466798	y
6.649390	cae
6.968926	patas
7.465982	para
7.567422	arriba
