0.217205	Dentro
0.671361	de
0.776673	la
1.013624	casa
1.948264	Lily
2.369510	trata
2.678863	de
2.928978	comerse
3.606921	un
3.685904	último
4.304610	trozo
4.771930	de
4.936479	bannock
5.857955	pero
6.318693	Kookum
7.069038	ha
7.292825	puesto
7.621924	la
7.714071	fuente
8.214301	en
8.253793	un
8.438088	lugar
8.819843	alto
9.280581	de
9.379310	la
9.629425	estanteria
